segment,from,to,bearing_deg,t_s,lat_N,lon_E,alt_m,satellites,hdop,fix
A_B,A,B,47,0.00,27.915802,78.078198,178.3,9,0.9,3D
A_B,A,B,47,0.20,27.915799,78.078204,178.1,9,0.9,3D
A_B,A,B,47,0.40,27.915807,78.078197,178.5,9,0.8,3D
A_B,A,B,47,0.60,27.915815,78.078213,178.2,9,0.8,3D
A_B,A,B,47,0.80,27.915821,78.078221,178.4,10,0.8,3D
A_B,A,B,47,1.00,27.915830,78.078228,178.3,10,0.7,3D
A_B,A,B,47,1.20,27.915838,78.078234,178.6,10,0.7,3D
A_B,A,B,47,1.40,27.915849,78.078247,178.1,10,0.8,3D
A_B,A,B,47,1.60,27.915856,78.078251,178.4,9,0.8,3D
A_B,A,B,47,1.80,27.915862,78.078259,178.3,9,0.9,3D
B_C,B,C,79,0.00,27.916147,78.078603,178.2,10,0.7,3D
B_C,B,C,79,0.20,27.916153,78.078618,178.4,10,0.7,3D
B_C,B,C,79,0.40,27.916162,78.078631,178.1,10,0.8,3D
B_C,B,C,79,0.60,27.916168,78.078649,178.3,9,0.8,3D
B_C,B,C,79,0.80,27.916174,78.078664,178.5,9,0.9,3D
B_C,B,C,79,1.00,27.916183,78.078677,178.2,9,0.9,3D
B_C,B,C,79,1.20,27.916191,78.078692,178.4,10,0.8,3D
B_C,B,C,79,1.40,27.916198,78.078708,178.3,10,0.8,3D
B_C,B,C,79,1.60,27.916207,78.078721,178.1,10,0.7,3D
B_C,B,C,79,1.80,27.916214,78.078736,178.2,10,0.7,3D
C_D,C,D,128,0.00,27.916403,78.079097,178.3,9,0.9,3D
C_D,C,D,128,0.20,27.916395,78.079112,178.5,9,0.9,3D
C_D,C,D,128,0.40,27.916388,78.079126,178.2,9,1.0,3D
C_D,C,D,128,0.60,27.916379,78.079139,178.4,8,1.0,3D
C_D,C,D,128,0.80,27.916371,78.079153,178.1,8,1.1,3D
C_D,C,D,128,1.00,27.916362,78.079167,178.3,8,1.1,3D
C_D,C,D,128,1.20,27.916352,78.079181,178.6,9,1.0,3D
C_D,C,D,128,1.40,27.916344,78.079196,178.3,9,0.9,3D
C_D,C,D,128,1.60,27.916334,78.079211,178.2,9,0.9,3D
C_D,C,D,128,1.80,27.916326,78.079224,178.4,9,0.9,3D
D_E,D,E,196,0.00,27.916098,78.079403,178.3,10,0.8,3D
D_E,D,E,196,0.20,27.916087,78.079396,178.1,10,0.8,3D
D_E,D,E,196,0.40,27.916075,78.079389,178.4,10,0.7,3D
D_E,D,E,196,0.60,27.916064,78.079381,178.2,10,0.7,3D
D_E,D,E,196,0.80,27.916052,78.079374,178.5,10,0.8,3D
D_E,D,E,196,1.00,27.916040,78.079366,178.3,9,0.8,3D
D_E,D,E,196,1.20,27.916029,78.079358,178.1,9,0.9,3D
D_E,D,E,196,1.40,27.916017,78.079349,178.4,9,0.9,3D
D_E,D,E,196,1.60,27.916005,78.079341,178.2,9,0.8,3D
D_E,D,E,196,1.80,27.915993,78.079332,178.3,9,0.8,3D
