segment,from,to,phase,t_s,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_degs,gyro_y_degs,gyro_z_degs
A_B,A,B,straight,0.00,0.023,0.011,-0.031,0.12,-0.08,0.04
A_B,A,B,straight,0.01,0.019,-0.007,0.024,0.09,0.11,-0.03
A_B,A,B,straight,0.02,0.031,0.014,-0.018,-0.07,0.06,0.06
A_B,A,B,straight,0.03,0.017,-0.009,0.027,0.14,-0.12,-0.02
A_B,A,B,straight,0.04,0.028,0.006,-0.022,0.05,0.09,0.07
A_B,A,B,straight,0.05,0.021,-0.013,0.019,-0.11,-0.07,-0.05
A_B,A,B,straight,0.06,0.034,0.008,-0.028,0.08,0.13,0.03
A_B,A,B,straight,0.07,0.016,-0.011,0.021,-0.06,-0.09,-0.04
A_B,A,B,straight,0.08,0.026,0.009,-0.016,0.10,0.07,0.08
A_B,A,B,straight,0.09,0.022,-0.006,0.023,-0.13,-0.05,-0.06
B_C,B,C,turning_right,0.00,0.024,0.041,-0.033,0.11,-0.09,-4.21
B_C,B,C,turning_right,0.01,0.031,0.038,0.029,0.08,0.12,-5.87
B_C,B,C,turning_right,0.02,0.019,0.044,-0.024,-0.06,0.07,-6.43
B_C,B,C,turning_right,0.03,0.027,0.036,0.031,0.13,-0.11,-7.12
B_C,B,C,turning_right,0.04,0.022,0.049,-0.019,0.06,0.08,-7.89
B_C,B,C,turning_right,0.05,0.033,0.042,0.026,-0.09,-0.06,-8.31
B_C,B,C,turning_right,0.06,0.018,0.051,-0.031,0.07,0.14,-8.04
B_C,B,C,turning_right,0.07,0.029,0.039,0.023,-0.05,-0.08,-7.56
B_C,B,C,turning_right,0.08,0.021,0.047,-0.018,0.12,0.06,-6.93
B_C,B,C,turning_right,0.09,0.036,0.043,0.027,-0.10,-0.11,-5.72
C_D,C,D,straight,0.00,0.027,0.009,-0.047,0.13,-0.11,0.05
C_D,C,D,straight,0.01,0.021,-0.014,0.061,0.08,0.09,-0.07
C_D,C,D,straight,0.02,0.034,0.011,-0.053,-0.10,0.07,0.09
C_D,C,D,straight,0.03,0.019,-0.008,0.068,0.15,-0.13,-0.04
C_D,C,D,straight,0.04,0.031,0.013,-0.059,0.06,0.10,0.11
C_D,C,D,straight,0.05,0.024,-0.011,0.072,-0.12,-0.08,-0.06
C_D,C,D,straight,0.06,0.037,0.007,-0.064,0.09,0.12,0.08
C_D,C,D,straight,0.07,0.018,-0.016,0.055,-0.07,-0.06,-0.10
C_D,C,D,straight,0.08,0.029,0.010,-0.049,0.11,0.08,0.07
C_D,C,D,straight,0.09,0.023,-0.012,0.066,-0.14,-0.09,-0.05
D_E,D,E,turning_left,0.00,0.022,-0.038,-0.041,0.09,-0.07,5.14
D_E,D,E,turning_left,0.01,0.033,-0.044,0.033,0.12,0.10,6.82
D_E,D,E,turning_left,0.02,0.017,-0.051,-0.027,-0.08,0.06,7.91
D_E,D,E,turning_left,0.03,0.028,-0.046,0.038,0.14,-0.12,8.43
D_E,D,E,turning_left,0.04,0.024,-0.053,-0.032,0.05,0.09,8.76
D_E,D,E,turning_left,0.05,0.036,-0.041,0.029,-0.11,-0.07,8.12
D_E,D,E,turning_left,0.06,0.019,-0.048,-0.036,0.07,0.11,7.34
D_E,D,E,turning_left,0.07,0.031,-0.039,0.024,-0.09,-0.08,6.59
D_E,D,E,turning_left,0.08,0.026,-0.045,-0.031,0.13,0.07,5.87
D_E,D,E,turning_left,0.09,0.021,-0.043,0.027,-0.06,-0.10,4.91
