segment,from,to,phase,t_s,mag_x_uT,mag_y_uT,mag_z_uT,raw_heading_deg,note
A_B,A,B,straight,0.00,22.41,19.87,-31.24,48.3,
A_B,A,B,straight,0.02,22.38,19.91,-31.19,47.9,
A_B,A,B,straight,0.04,22.44,19.84,-31.27,48.6,
A_B,A,B,straight,0.06,22.37,19.93,-31.21,47.7,
A_B,A,B,straight,0.08,22.46,19.79,-31.31,49.1,motor_spike
A_B,A,B,straight,0.10,22.40,19.88,-31.22,48.2,
A_B,A,B,straight,0.12,22.35,19.96,-31.18,47.5,
A_B,A,B,straight,0.14,22.43,19.82,-31.25,48.5,
A_B,A,B,straight,0.16,22.39,19.90,-31.20,48.0,
A_B,A,B,straight,0.18,22.42,19.85,-31.23,48.4,
B_C,B,C,turning_right,0.00,22.41,19.88,-31.24,48.2,turn_starts
B_C,B,C,turning_right,0.10,23.17,19.21,-31.19,54.7,
B_C,B,C,turning_right,0.20,24.03,18.44,-31.27,61.3,
B_C,B,C,turning_right,0.30,24.89,17.62,-31.22,67.8,
B_C,B,C,turning_right,0.40,25.71,16.83,-31.31,73.9,
B_C,B,C,turning_right,0.50,26.18,16.31,-31.25,77.8,motor_spike
B_C,B,C,turning_right,0.60,26.44,16.09,-31.20,79.1,settling
B_C,B,C,turning_right,0.70,26.49,16.04,-31.24,79.4,
B_C,B,C,turning_right,0.80,26.46,16.07,-31.21,79.2,
B_C,B,C,turning_right,0.90,26.47,16.06,-31.23,79.3,settled
C_D,C,D,straight,0.00,30.14,-8.23,-31.26,128.6,
C_D,C,D,straight,0.02,30.11,-8.19,-31.21,128.2,
C_D,C,D,straight,0.04,30.17,-8.26,-31.29,129.1,
C_D,C,D,straight,0.06,30.09,-8.21,-31.23,128.4,
C_D,C,D,straight,0.08,30.19,-8.31,-31.34,129.6,motor_spike
C_D,C,D,straight,0.10,30.13,-8.24,-31.25,128.7,
C_D,C,D,straight,0.12,30.08,-8.17,-31.19,128.0,
C_D,C,D,straight,0.14,30.15,-8.22,-31.27,128.5,
C_D,C,D,straight,0.16,30.12,-8.20,-31.22,128.3,
C_D,C,D,straight,0.18,30.16,-8.25,-31.28,128.8,
D_E,D,E,turning_left,0.00,30.14,-8.24,-31.26,128.5,turn_starts
D_E,D,E,turning_left,0.20,26.81,-14.17,-31.21,142.1,
D_E,D,E,turning_left,0.40,21.93,-20.44,-31.28,157.0,
D_E,D,E,turning_left,0.60,16.47,-25.88,-31.23,172.4,
D_E,D,E,turning_left,0.80,10.83,-29.91,-31.31,180.2,passing_south
D_E,D,E,turning_left,1.00,5.12,-31.88,-31.25,189.1,
D_E,D,E,turning_left,1.20,1.47,-32.11,-31.20,194.6,
D_E,D,E,turning_left,1.40,-0.83,-32.04,-31.24,196.4,mx_goes_negative
D_E,D,E,turning_left,1.60,-0.91,-32.07,-31.21,196.2,settling
D_E,D,E,turning_left,1.80,-0.88,-32.05,-31.23,196.3,settled
